,Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
1064,Lars Nootbaar,STL,OF,03/02/24,Non-displaced rib fractures,Activated,03/25/24,04/04/24,04/11/24,Activated
1065,Luis Medina,OAK,SP,03/04/24,Sprained knee,60-Day IL,03/25/24,05/24/24,,No timetable for return
1066,Tristan Beck,SFG,SP,03/04/24,Vascular surgery (upper arm aneurysm),60-Day IL,03/28/24,05/27/24,,No timetable for return
1067,Sonny Gray,STL,SP,03/04/24,Strained hamstring,Activated,03/25/24,04/09/24,04/09/24,Activated
1068,Caleb Kilian,CHC,SP,03/05/24,Strained shoulder,60-Day IL,03/28/24,05/27/24,,Likely out until July
1069,Xavier Edwards,MIA,INF/OF,03/05/24,Foot infection,10-Day IL,03/25/24,04/04/24,,No timetable for return
1070,Devin Williams,MIL,RP,03/05/24,Stress fractures in back,60-Day IL,03/25/24,05/24/24,,Likely out until at least mid-July
1071,Ji Hwan Bae,PIT,INF/OF,03/05/24,Strained hip,Activated,03/25/24,04/04/24,04/15/24,Activated
1072,Nathaniel Lowe,TEX,1B,03/05/24,Strained oblique,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/12)
1073,Oswald Peraza,NYY,INF,03/06/24,Strained shoulder,10-Day IL,03/25/24,04/04/24,,Shut down from throwing for 6-8 weeks
1074,Scott Alexander,OAK,RP,03/06/24,Stress reaction in rib,15-Day IL,03/25/24,04/09/24,,No timetable for return
1075,Rafael Marchán,PHI,C,03/07/24,Back discomfort,10-Day IL,03/25/24,04/04/24,,No timetable for return
1076,Keynan Middleton,STL,RP,03/07/24,Strained forearm,15-Day IL,03/25/24,04/09/24,,No timetable for return
1077,Sam Hentges,CLE,SP,03/08/24,Finger inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
1078,Jameson Taillon,CHC,SP,03/09/24,Strained lower back,Activated,03/25/24,04/09/24,04/18/24,Activated
1079,Jake Brentz,KCR,RP,03/09/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,Out at least 6 weeks
1080,Blake Treinen,LAD,RP,03/09/24,Bruised lung,15-Day IL,03/17/24,04/07/24,,No timetable for return
1081,Gavin Williams,CLE,SP,03/10/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
1082,Edward Cabrera,MIA,RP,03/10/24,Shoulder impingement,Activated,03/25/24,04/09/24,04/15/24,Activated
1083,Jonny DeLuca,TBR,OF,03/10/24,Fractured hand,10-Day IL,03/25/24,04/04/24,,No timetable for return
1084,Jordan Romano,TOR,RP,03/10/24,Elbow inflammation,Activated,03/25/24,04/09/24,04/16/24,Activated
1085,Gregory Santos,SEA,RP,03/11/24,Strained lat,15-Day IL,03/25/24,04/09/24,,No timetable for return
1086,Lucas Giolito,BOS,SP,03/12/24,Elbow surgery (internal brace),60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1087,Rob Refsnyder,BOS,OF,03/12/24,Fractured toe,Activated,03/25/24,04/04/24,04/18/24,Activated
1088,Josh Taylor,KCR,RP,03/12/24,Biceps soreness,60-Day IL,03/25/24,05/24/24,,No timetable for return
1089,Taj Bradley,TBR,SP,03/12/24,Strained pectoral,15-Day IL,03/25/24,04/09/24,,No timetable for return
1090,Patrick Wisdom,CHC,INF/OF,03/13/24,Strained back,Activated,03/25/24,04/04/24,04/18/24,Activated
1091,Jhoan Duran,MIN,RP,03/13/24,Strained oblique,15-Day IL,03/25/24,04/09/24,,No timetable for return
1092,Carmen Mlodzinski,PIT,RP,03/13/24,Elbow inflammation,Activated,03/25/24,04/09/24,04/10/24,Activated
1093,Luis Patiño,SDP,RP,03/13/24,Elbow inflammation,15-Day IL,03/17/24,04/07/24,,No timetable for return
1094,Ethan Small,SFG,RP,03/13/24,Strained oblique,60-Day IL,03/28/24,05/27/24,,No timetable for return
1095,Danny Jansen,TOR,C,03/13/24,Fractured pisiform bone (right wrist),Activated,03/25/24,04/04/24,04/15/24,Activated
1096,Erik Swanson,TOR,RP,03/13/24,Forearm inflammation,Activated,03/25/24,04/09/24,04/16/24,Activated
1097,José Urquidy,HOU,SP,03/15/24,Strained forearm,15-Day IL,03/25/24,04/09/24,,No timetable for return
1098,Justin Topa,MIN,RP,03/15/24,Patellar tendinitis (left knee),15-Day IL,03/25/24,04/09/24,,No timetable for return
1099,Jackson Kowar,SEA,RP,03/15/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1100,Drew Rom,STL,SP,03/15/24,Shoulder biceps tendinits,15-Day IL,03/25/24,04/09/24,,No timetable for return
1101,Nick Lodolo,CIN,SP,03/16/24,Calf tenosynovitis,Activated,03/25/24,04/09/24,04/13/24,Activated
1102,TJ Friedl,CIN,OF,03/16/24,Non-displaced wrist fracture,10-Day IL,03/25/24,04/04/24,,Expected to miss 6-8 weeks
1103,Michael Massey,KCR,2B,03/16/24,Lower back tightness,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/5)
1104,DJ LeMahieu,NYY,INF,03/16/24,Fractured foot (non-displaced),10-Day IL,03/25/24,04/04/24,,No timetable for return
1105,Brandon Williamson,CIN,SP,03/17/24,Strained shoulder,15-Day IL,03/25/24,04/09/24,,No timetable for return
1106,Jonathan Aranda,TBR,INF/OF,03/17/24,Fractured finger (right ring),10-Day IL,03/25/24,04/04/24,,Expected to miss 4-6 weeks
1107,Josh Lowe,TBR,OF,03/17/24,Strained oblique,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/18)
1108,Eduardo Rodriguez,ARI,SP,03/19/24,Strained lat,60-Day IL,03/25/24,05/24/24,,No timetable for return
1109,Max Stassi,CHW,C,03/20/24,Hip inflammation,60-Day IL,03/25/24,05/24/24,,No timetable for return
1110,Oliver Ortega,HOU,RP,03/21/24,Elbow surgery (loose body removal),60-Day IL,03/25/24,05/24/24,,Expected to miss 3-4 months
1111,Dauri Moreta,PIT,SP,03/21/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1112,Paul Sewald,ARI,RP,03/23/24,Strained oblique,15-Day IL,03/25/24,04/09/24,,No timetable for return
1113,Taijuan Walker,PHI,SP,03/23/24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/11)
1114,Bryan Woo,SEA,SP,03/23/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
1115,Garrett Mitchell,MIL,OF,03/24/24,Fractured finger (left index),60-Day IL,03/25/24,05/24/24,,Likely out until early June
1116,Sean Reid-Foley,NYM,RP,03/24/24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/14)
1117,Josh Staumont,MIN,RP,03/25/24,Strained calf,15-Day IL,03/26/24,04/10/24,,Rehab assignment (4/9)
1118,Dylan Carlson,STL,OF,03/25/24,Sprained shoulder (AC joint),10-Day IL,03/26/24,04/05/24,,No timetable for return
1119,Matt McLain,CIN,2B,03/26/24,Shoulder surgery,10-Day IL,03/25/24,04/04/24,,Out until at least August
1120,Miguel Andujar,OAK,OF/INF,03/27/24,Knee surgery (lateral meniscectomy),10-Day IL,03/25/24,04/04/24,,Expected to miss 4-6 weeks
1121,Justin Steele,CHC,SP,03/28/24,Strained hamstring,15-Day IL,03/29/24,04/13/24,,Out at least 1 month
1122,Royce Lewis,MIN,3B,03/28/24,Strained quad,10-Day IL,03/29/24,04/08/24,,Out at least 1 month
1123,Luke Jackson,SFG,RP,03/28/24,Strained lower back,15-Day IL,03/29/24,04/13/24,,No timetable for return
1124,Riley O'Brien,STL,RP,03/28/24,Strained forearm flexor,15-Day IL,03/29/24,04/13/24,,No timetable for return
1125,Nick Senzel,WSN,3B,03/28/24,Fractured thumb (right),Activated,03/27/24,04/06/24,04/15/24,Activated
1126,Sean Murphy,ATL,C,03/29/24,Strained oblique,10-Day IL,03/30/24,04/09/24,,No timetable for return
1127,Anthony DeSclafani,MIN,SP,03/29/24,Elbow/Flexor tendon surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
1128,Cionel Pérez,BAL,RP,03/30/24,Strained oblique,15-Day IL,03/31/24,04/15/24,,No timetable for return
1129,Jason Heyward,LAD,OF,03/30/24,Lower back tightness,10-Day IL,03/31/24,04/10/24,,No timetable for return
1130,Trevor Megill,MIL,RP,03/30/24,Concussion,7-Day IL,03/31/24,04/07/24,,Rehab assignment (4/13)
1131,Taylor Clarke,MIL,RP,03/30/24,Knee surgery (torn meniscus),15-Day IL,03/25/24,04/09/24,,Likely out until late May
1132,Luis F. Ortiz,PHI,RP,03/30/24,Sprained ankle,15-Day IL,03/31/24,04/15/24,,No timetable for return
1133,Alek Thomas,ARI,OF,03/31/24,Strained hamstring,10-Day IL,04/01/24,04/11/24,,No timetable for return
1134,Eloy Jiménez,CHW,OF,03/31/24,Strained groin,Activated,04/02/24,04/12/24,04/15/24,Activated
1135,Tylor Megill,NYM,SP,03/31/24,Strained shoulder,15-Day IL,04/01/24,04/16/24,,No timetable for return
1136,Jason Delay,PIT,C,03/31/24,Knee inflammation,10-Day IL,04/01/24,04/11/24,,No timetable for return
1137,Daniel Bard,COL,RP,Apr '24,Flexor tendon surgery,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
1138,Matt Carpenter,STL,1B,04/01/24,Strained oblique,10-Day IL,04/02/24,04/12/24,,No timetable for return
1139,Josh Jung,TEX,3B,04/01/24,Wrist surgery,60-Day IL,04/02/24,06/01/24,,Expected to miss 8-10 weeks
1140,Framber Valdez,HOU,SP,04/02/24,Elbow inflammation,15-Day IL,04/06/24,04/21/24,,No timetable for return
1141,Jakob Junis,MIL,SP,04/02/24,Shoulder impingement,15-Day IL,04/03/24,04/18/24,,No timetable for return
1142,Geraldo Perdomo,ARI,SS,04/03/24,Torn knee meniscus,10-Day IL,04/04/24,04/14/24,,Expected to miss at least 1 month
1143,Nick Pivetta,BOS,SP,04/03/24,Strained elbow flexor,15-Day IL,04/06/24,04/21/24,,No timetable for return
1144,Bennett Sousa,HOU,RP,04/03/24,Thoracic outlet syndrome surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
1145,Daniel Duarte,MIN,RP,04/03/24,Strained triceps,15-Day IL,04/04/24,04/19/24,,No timetable for return
1146,Jonathan Loáisiga,NYY,RP,04/03/24,Torn elbow ligament (UCL),60-Day IL,04/04/24,06/03/24,,Out for 2024 season
1147,Trevor Gott,OAK,RP,04/03/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1148,Victor Robles,WSN,OF,04/03/24,Strained hamstring,10-Day IL,04/04/24,04/14/24,,No timetable for return
1149,Josiah Gray,WSN,SP,04/04/24,Strained elbow flexor,15-Day IL,04/06/24,04/21/24,,No timetable for return
1150,Trevor Story,BOS,SS,04/05/24,Shoulder surgery (fractured glenoid),10-Day IL,04/06/24,04/16/24,,Questionable for 2024 season
1151,Julian Merryweather,CHC,RP,04/05/24,Rib stress fracture,60-Day IL,04/06/24,06/05/24,,No timetable for return
1152,John Brebbia,CHW,RP,04/05/24,Strained calf,15-Day IL,04/06/24,04/21/24,,No timetable for return
1153,Luis Robert Jr.,CHW,OF,04/05/24,Strained hip flexor,10-Day IL,04/06/24,04/16/24,,Expected to miss at least 6-8 weeks
1154,Ryan Borucki,PIT,RP,04/05/24,Triceps inflammation,15-Day IL,04/06/24,04/21/24,,No timetable for return
1155,Max Kepler,MIN,OF,04/06/24,Knee contusion,10-Day IL,04/07/24,04/22/24,,Rehab assignment (4/18)
1156,Josh Sborz,TEX,RP,04/06/24,Strained shoulder (rotator cuff),15-Day IL,04/07/24,04/22/24,,No timetable for return
1157,Andy Ibáñez,DET,INF/OF,04/07/24,Strained hamstring,10-Day IL,04/08/24,04/18/24,,No timetable for return
1158,Guillermo Zuñiga,LAA,RP,04/07/24,Strained pectoral,15-Day IL,04/08/24,04/23/24,,No timetable for return
1159,Chase Silseth,LAA,SP,04/07/24,Elbow inflammation,15-Day IL,04/08/24,04/23/24,,No timetable for return
1160,Brent Rooker,OAK,OF,04/07/24,Costochondral cartilage injury,10-Day IL,04/08/24,04/18/24,,No timetable for return
1161,Collin Snider,SEA,RP,04/07/24,Knee contusion,15-Day IL,04/08/24,04/23/24,,No timetable for return
1162,Justin Foscue,TEX,INF,04/07/24,Strained oblique,60-Day IL,04/08/24,06/07/24,,No timetable for return
1163,Eury Pérez,MIA,SP,04/08/24,Tommy John surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
1164,Cody Bolton,SEA,RP,04/08/24,Kidney stones,15-Day IL,04/06/24,04/21/24,,No timetable for return
1165,Yoán Moncada,CHW,3B,04/09/24,Strained groin,60-Day IL,04/10/24,06/09/24,,Likely out until at least mid-July
1166,Connor Brogdon,LAD,RP,04/09/24,Plantar fascitis,15-Day IL,04/10/24,04/25/24,,No timetable for return
1167,Keibert Ruiz,WSN,C,04/09/24,Influenza,10-Day IL,04/12/24,04/22/24,,No timetable for return
1168,Romy Gonzalez,BOS,INF/OF,04/10/24,Sprained wrist,10-Day IL,04/11/24,04/21/24,,No timetable for return
1169,Chris Murphy,BOS,SP,04/10/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1170,Bobby Miller,LAD,SP,04/10/24,Shoulder inflammation,15-Day IL,04/11/24,04/26/24,,No timetable for return
1171,Jon Berti,NYY,INF/OF,04/10/24,Strained groin,10-Day IL,04/11/24,04/21/24,,No timetable for return
1172,Brandon Lowe,TBR,2B,04/10/24,Strained oblique,10-Day IL,04/09/24,04/19/24,,No timetable for return
1173,Cody Bradford,TEX,SP,04/10/24,Strained lower back,15-Day IL,04/11/24,04/26/24,,No timetable for return
1174,Isaiah Campbell,BOS,RP,04/11/24,Shoulder impingement,15-Day IL,04/12/24,04/27/24,,No timetable for return
1175,Spencer Strider,ATL,SP,04/12/24,Elbow surgery (internal brace),15-Day IL,04/06/24,04/21/24,,Out for 2024 season
1176,Tyler Wells,BAL,SP,04/12/24,Elbow inflammation,15-Day IL,04/13/24,04/28/24,,No timetable for return
1177,Tejay Antone,CIN,RP,04/12/24,Elbow surgery (UCL/flexor tendon repair),15-Day IL,04/08/24,04/23/24,,Out for 2024 season
1178,Shane Bieber,CLE,SP,04/12/24,Tommy John surgery,60-Day IL,04/03/24,06/02/24,,Out for 2024 season
1179,Christian Yelich,MIL,OF,04/12/24,Strained lower back,10-Day IL,04/13/24,04/23/24,,No timetable for return
1180,Carlos Correa,MIN,SS,04/12/24,Strained oblique,10-Day IL,04/13/24,04/23/24,,No timetable for return
1181,Angel Martínez,CLE,INF,04/13/24,Fractured hamate,60-Day IL,03/25/24,05/24/24,,No timetable for return
1182,Kris Bryant,COL,1B/OF,04/13/24,Strained lower back,10-Day IL,04/14/24,04/24/24,,No timetable for return
1183,Robert Stephenson,LAA,RP,04/13/24,Elbow discomfort,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
1184,J.B. Bukauskas,MIL,RP,04/13/24,Strained triceps,15-Day IL,04/14/24,04/29/24,,No timetable for return
1185,Marco Gonzales,PIT,SP,04/13/24,Strained forearm,15-Day IL,04/14/24,04/29/24,,No timetable for return
1186,Seiya Suzuki,CHC,OF,04/14/24,Strained oblique,10-Day IL,04/15/24,04/25/24,,No timetable for return
1187,Jake Burger,MIA,3B/1B,04/14/24,Strained oblique,10-Day IL,04/15/24,04/25/24,,No timetable for return
1188,J.D. Davis,OAK,3B/1B,04/14/24,Strained groin,10-Day IL,04/15/24,04/25/24,,No timetable for return
1189,Yu Darvish,SDP,SP,04/14/24,Neck tightness,15-Day IL,04/15/24,04/30/24,,No timetable for return
1190,Dominic Canzone,SEA,OF,04/14/24,Sprained shoulder (AC joint),10-Day IL,04/15/24,04/25/24,,No timetable for return
1191,Ozzie Albies,ATL,2B,04/15/24,Fractured toe,10-Day IL,04/16/24,04/26/24,,No timetable for return
1192,Tyler O'Neill,BOS,OF,04/15/24,Concussion,7-Day IL,04/16/24,04/23/24,,No timetable for return
1193,Garrett Whitlock,BOS,SP,04/16/24,Strained oblique,15-Day IL,04/17/24,05/02/24,,No timetable for return
1194,Eli Morgan,CLE,RP,04/16/24,Shoulder inflammation,15-Day IL,04/17/24,05/02/24,,No timetable for return
1195,Brock Burke,TEX,RP,04/18/24,Hand surgery (non-throwing),60-Day IL,04/13/24,06/12/24,,No timetable for return
1196,JT Chargois,MIA,RP,Feb '24,Neck spasms,15-Day IL,03/25/24,04/09/24,,No timetable for return
1197,Michael Lorenzen,TEX,SP,Mar '24,Strained neck,Activated,03/25/24,04/09/24,04/15/24,Activated
1198,Yu Darvish,SDP,SP,04/14/24,Neck tightness,15-Day IL,04/15/24,04/30/24,,No timetable for return
1199,Sam Bachman,LAA,SP,Sep '23,Arthroscopic shoulder surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
1200,Josh Winder,MIN,RP,Sep '23,Shoulder discomfort (scapular stress fracture),60-Day IL,03/28/24,05/27/24,,No timetable for return
1201,Tommy Kahnle,NYY,RP,09/20/23,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
1202,Kyle Wright,KCR,SP,10/11/23,Shoulder surgery (torn capsule),60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1203,Brandon Woodruff,MIL,SP,10/13/23,Shoulder surgery (anterior capsule repair),60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1204,Clayton Kershaw,LAD,SP,11/03/23,Shoulder surgery (glenohumeral ligaments and capsu,60-Day IL,03/20/24,05/19/24,,Out for at least 1st half
1205,Kendall Graveman,HOU,RP,Jan '24,Shoulder surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1206,Sam Moll,CIN,RP,Feb '24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (3/29)
1207,James Karinchak,CLE,RP,Feb '24,Shoulder inflammation,60-Day IL,03/25/24,05/24/24,,No timetable for return
1208,Justin Verlander,HOU,SP,Feb '24,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
1209,Carlos Hernández,KCR,RP,Feb '24,Shoulder soreness,15-Day IL,03/25/24,04/09/24,,No timetable for return
1210,Emmet Sheehan,LAD,SP,Feb '24,Forearm inflammation/shoulder soreness,60-Day IL,03/17/24,05/22/24,,No timetable for return
1211,Braxton Garrett,MIA,SP,Feb '24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
1212,Wade Miley,MIL,SP,Feb '24,Shoulder impingement,Activated,03/25/24,04/09/24,04/10/24,Activated
1213,Zack Weiss,MIN,RP,Feb '24,Strained shoulder (teres major),60-Day IL,03/25/24,05/24/24,,No timetable for return
1214,Glenn Otto,SDP,SP,Feb '24,Strained shoulder (teres major),15-Day IL,03/17/24,04/07/24,,No timetable for return
1215,Eduard Bazardo,SEA,RP,Feb '24,Strained shoulder (rotator cuff),15-Day IL,03/25/24,04/09/24,,No timetable for return
1216,Kodai Senga,NYM,SP,02/21/24,Strained shoulder (posterior capsule),60-Day IL,03/25/24,05/24/24,,No timetable for return
1217,Shane Drohan,CHW,SP,02/22/24,Shoulder surgery (nerve decompression),60-Day IL,03/25/24,05/24/24,,No timetable for return
1218,Jimmy Lambert,CHW,RP,02/25/24,Strained shoulder (rotator cuff),60-Day IL,03/28/24,05/27/24,,No timetable for return
1219,Alek Manoah,TOR,SP,02/27/24,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
1220,Dylan Covey,PHI,RP,03/01/24,Strained shoulder,15-Day IL,03/25/24,04/09/24,,No timetable for return
1221,Brusdar Graterol,LAD,RP,03/02/24,Shoulder inflammation,60-Day IL,03/17/24,05/22/24,,No timetable for return
1222,Caleb Kilian,CHC,SP,03/05/24,Strained shoulder,60-Day IL,03/28/24,05/27/24,,Likely out until July
1223,Oswald Peraza,NYY,INF,03/06/24,Strained shoulder,10-Day IL,03/25/24,04/04/24,,Shut down from throwing for 6-8 weeks
1224,Edward Cabrera,MIA,RP,03/10/24,Shoulder impingement,Activated,03/25/24,04/09/24,04/15/24,Activated
1225,Drew Rom,STL,SP,03/15/24,Shoulder biceps tendinits,15-Day IL,03/25/24,04/09/24,,No timetable for return
1226,Brandon Williamson,CIN,SP,03/17/24,Strained shoulder,15-Day IL,03/25/24,04/09/24,,No timetable for return
1227,Taijuan Walker,PHI,SP,03/23/24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/11)
1228,Sean Reid-Foley,NYM,RP,03/24/24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/14)
1229,Dylan Carlson,STL,OF,03/25/24,Sprained shoulder (AC joint),10-Day IL,03/26/24,04/05/24,,No timetable for return
1230,Matt McLain,CIN,2B,03/26/24,Shoulder surgery,10-Day IL,03/25/24,04/04/24,,Out until at least August
1231,Tylor Megill,NYM,SP,03/31/24,Strained shoulder,15-Day IL,04/01/24,04/16/24,,No timetable for return
1232,Jakob Junis,MIL,SP,04/02/24,Shoulder impingement,15-Day IL,04/03/24,04/18/24,,No timetable for return
1233,Trevor Story,BOS,SS,04/05/24,Shoulder surgery (fractured glenoid),10-Day IL,04/06/24,04/16/24,,Questionable for 2024 season
1234,Josh Sborz,TEX,RP,04/06/24,Strained shoulder (rotator cuff),15-Day IL,04/07/24,04/22/24,,No timetable for return
1235,Bobby Miller,LAD,SP,04/10/24,Shoulder inflammation,15-Day IL,04/11/24,04/26/24,,No timetable for return
1236,Isaiah Campbell,BOS,RP,04/11/24,Shoulder impingement,15-Day IL,04/12/24,04/27/24,,No timetable for return
1237,Dominic Canzone,SEA,OF,04/14/24,Sprained shoulder (AC joint),10-Day IL,04/15/24,04/25/24,,No timetable for return
1238,Eli Morgan,CLE,RP,04/16/24,Shoulder inflammation,15-Day IL,04/17/24,05/02/24,,No timetable for return
1239,Walker Buehler,LAD,SP,08/23/22,Tommy John surgery,15-Day IL,03/17/24,04/07/24,,Rehab assignment (3/31)
1240,Shane Baz,TBR,SP,09/28/22,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
1241,Lucas Gilbreath,COL,RP,03/14/23,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
1242,Cade Cavalli,WSN,SP,03/22/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1243,Matt Foster,CHW,RP,Apr '23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1244,JT Brubaker,NYY,SP,04/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1245,Jeffrey Springs,TBR,SP,04/24/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1246,Kris Bubic,KCR,SP,04/26/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1247,Lou Trivino,NYY,RP,05/03/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1248,Robbie Ray,SFG,SP,05/03/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1249,Germán Márquez,COL,SP,05/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1250,José Quijada,LAA,RP,05/17/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
1251,Austin Warren,SFG,RP,05/17/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1252,Luis Garcia,HOU,SP,05/19/23,Tommy John surgery,60-Day IL,03/25/24,05/24/24,,Questionable for 2024 season
1253,Tyler Mahle,TEX,SP,05/22/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1254,Jacob deGrom,TEX,SP,06/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1255,Dustin May,LAD,SP,07/18/23,Tommy John revision surgery,60-Day IL,03/20/24,05/19/24,,Questionable for 2024 season
1256,Antonio Senzatela,COL,SP,07/26/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1257,Liam Hendriks,BOS,RP,08/02/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1258,Shane McClanahan,TBR,SP,08/21/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1259,Tony Gonsolin,LAD,SP,09/01/23,Tommy John surgery,60-Day IL,03/20/24,05/19/24,,Questionable for 2024 season
1260,Jasson Domínguez,NYY,OF,09/20/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Expected to miss 9-10 months
1261,Drey Jameson,ARI,RP,09/27/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1262,Angel Perdomo,ATL,RP,10/06/23,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
1263,Sandy Alcantara,MIA,SP,10/06/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1264,Félix Bautista,BAL,RP,10/09/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1265,Johan Oviedo,PIT,SP,12/06/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1266,Jesse Scholtens,CHW,SP,03/01/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1267,Mason Thompson,WSN,RP,03/01/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1268,Jackson Kowar,SEA,RP,03/15/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1269,Dauri Moreta,PIT,SP,03/21/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1270,Trevor Gott,OAK,RP,04/03/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1271,Eury Pérez,MIA,SP,04/08/24,Tommy John surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
1272,Chris Murphy,BOS,SP,04/10/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1273,Shane Bieber,CLE,SP,04/12/24,Tommy John surgery,60-Day IL,04/03/24,06/02/24,,Out for 2024 season
1274,Randal Grichuk,ARI,OF,Jan '24,Ankle procedure (bone spur removal),Activated,03/25/24,04/04/24,04/05/24,Activated
1275,Luis F. Ortiz,PHI,RP,03/30/24,Sprained ankle,15-Day IL,03/31/24,04/15/24,,No timetable for return
1276,Scott Effross,NYY,RP,Dec '23,Back surgery,60-Day IL,03/28/24,05/27/24,,Out until at least June
1277,Max Scherzer,TEX,SP,12/14/23,Back surgery (herniated disc),15-Day IL,03/25/24,04/09/24,,Out until at least June
1278,Alex Young,CIN,RP,Feb '24,Back tightness,15-Day IL,03/25/24,04/09/24,,No timetable for return
1279,Jose A. Ferrer,WSN,RP,Mar '24,Strained upper back,60-Day IL,03/28/24,05/27/24,,No timetable for return
1280,Devin Williams,MIL,RP,03/05/24,Stress fractures in back,60-Day IL,03/25/24,05/24/24,,Likely out until at least mid-July
1281,Rafael Marchán,PHI,C,03/07/24,Back discomfort,10-Day IL,03/25/24,04/04/24,,No timetable for return
1282,Jameson Taillon,CHC,SP,03/09/24,Strained lower back,Activated,03/25/24,04/09/24,04/18/24,Activated
1283,Patrick Wisdom,CHC,INF/OF,03/13/24,Strained back,Activated,03/25/24,04/04/24,04/18/24,Activated
1284,Michael Massey,KCR,2B,03/16/24,Lower back tightness,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/5)
1285,Luke Jackson,SFG,RP,03/28/24,Strained lower back,15-Day IL,03/29/24,04/13/24,,No timetable for return
1286,Jason Heyward,LAD,OF,03/30/24,Lower back tightness,10-Day IL,03/31/24,04/10/24,,No timetable for return
